username,th
ed9eaeb6a707f50154024b24d7efcb874a9795dd,7.342206
ba12c0a2cb367af0467e479c03507c71a805d291,8.308186
b7298b0fe50443a623af9b56792b330c2d052845,8.272274
c60be70309789b39355dc612f36e37090ccad5dc,6.869428
a22a58c5be8aa2c2700619e37f2b7a6e4efa7e6b,8.690612
d5841f944022e9ef49bf6ac9b5546dd82ab2784f,4.7375026
eb451c65ea210bed6af798282c2c6205c79f71fd,8.268564
c3e73d0362e2b21fae6edfcf518063e8a28b7b63,8.988435
df9e2c6cfb6035fa5b26af3b101bacf64e95e913,6.943668
99103791231143dd15aa77f2aeb87b2cd4a1c22e,5.9198174
e2ed5ffddf1e60198f9f138810f84b7107ca0561,4.602256
8554d1155712da4bc72ec5921db3227311265359,8.548543
89fe8b96c04597a0fb63dca3a86e5f36e7580940,6.6276474
8b65dcf807a9de0c95c0896919da04523176fab8,6.6580305
b6e252e4989b3b422d69eae06831ad0bfd396126,6.4307365
9e0457ac0f2824c5e725d83bdeee91ed078343b4,7.0286555
c9c6d1fdb1bc64d7137f0fb7050e334cbb7c0f6e,9.797212
ed6c052a16794cf2376b1497c505b438e9af69b6,5.8490515
c5d903eea354607809419b5e23c869ea16626a59,8.187232
927008a1eb1983b52fe269b504f398ca185603c3,6.6588297
fd29d68d81bf469540c56ab7074ad748cd72203c,5.9155483
d6f54f87ad964bd1cea20ffceea962f8b6236da3,7.753983
97983f3249349cfcb409b75d5f53e5cbab2bfa5a,7.266563
b72f0fecebc0120609eb4643631055b2e7a31fd7,8.0938225
f3a7769633f8060ffee4a0295c55ec9be084e3c0,8.098809
abf736b0441172883ba772951733e73d557598ab,7.40054
af99c21153a5cd9289febb0cc7d1f8cbee810621,6.327614
f5a2b63a98287f49a07f6101717dd4c1048b9903,7.390048
a9947ca4f64f3122a22c7827ae089d48db8fd76d,7.6476517
d28c344507f89c41df926794e0d5a96d10349014,5.1481614
ac6522ed2e2b8a808bb80970ccffcb6572183349,7.946079
8cf96ad1e77c722694ef03a06a781d61d632f2c0,8.367068
92de4c1319bb3b07781b63801e4599302764dc5f,7.1732335
f0cbea39c26f2cf588e04885ddc1a439564bd782,7.506692
f1299639d65fd743440958354f22154e171500d0,6.447277
943f8910b7d79d76726a7c50a996a39a00fb033b,6.993211
fc4d0cb084cf3b98bbe820a9fc36fd437940969e,5.2267485
c084f1399d2813131b70acb3920068a454cea6d5,5.290752
979ddec134899a31461a05d820b9d6cad713715b,6.377847
f7d331120e9b3a15cf4a0028849bf050846d5d6a,7.4236064
8866a6da23ad8a2abfb243905e0b5e2c98e366bc,8.672404
5c67cd01bb445f9b80d30f2c551d0d42776898fe,6.2773023
f408354e704d901dac2f283fc8242d2787ee4813,8.462634
e594aa5283c8b2076ece870504b4b6b2e9c29ca9,6.9276133
c5b963fdd21435b56c4cf55f49d652d92fc83093,7.781491
948fbf59cd52083820e8e1682a5bc2a34793997a,9.336433
c399382ea2553528d9b44a9aa6492cee7cf0b5c0,6.2354794
541270fc6468b9399001ee5a8bfa0cd380e1db60,5.7396955
d2a2d2ee79d993c9821f176d9a248223ee59b3c7,6.0107865
911daa5a6058823b007274f35ba038da7ec89a11,7.0324683
a5b034cb2c29d312a2e5475da6174e196cfc3c1b,8.615916
da7fa747f59ca321b48b414b2f884d027bc961f8,6.59067
dc87f8c4ae8953d2d0bcaf1a08239547d77cdee8,8.212511
8e3a076971fce919b1a5a0bc62dcef86264a1c24,7.025827
